"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10467,889,1531,58.07,"20200404"
10468,585,879,66.55,"20200404"
10469,755,1231,61.33,"20200404"
10470,111,211,52.61,"20200404"
10471,136,356,38.2,"20200404"
10472,448,728,61.54,"20200404"
10473,472,821,57.49,"20200404"
10474,77,130,59.23,"20200404"
10475,394,659,59.79,"20200404"
11429,296,424,69.81,"20200404"
11004,194,307,63.19,"20200404"
11101,214,439,48.75,"20200404"
11102,166,318,52.2,"20200404"
11103,152,283,53.71,"20200404"
11104,152,259,58.69,"20200404"
11105,157,328,47.87,"20200404"
11106,194,382,50.79,"20200404"
11109,24,70,34.29,"20200404"
11201,249,578,43.08,"20200404"
11203,499,790,63.16,"20200404"
11204,746,1234,60.45,"20200404"
11205,254,433,58.66,"20200404"
11206,444,766,57.96,"20200404"
11207,524,859,61,"20200404"
11208,571,868,65.78,"20200404"
11209,321,664,48.34,"20200404"
11210,554,900,61.56,"20200404"
11211,829,1285,64.51,"20200404"
11212,434,690,62.9,"20200404"
11213,520,816,63.73,"20200404"
11214,369,745,49.53,"20200404"
11215,217,524,41.41,"20200404"
11216,222,422,52.61,"20200404"
11217,177,340,52.06,"20200404"
11218,542,927,58.47,"20200404"
11219,1088,1565,69.52,"20200404"
11220,440,712,61.8,"20200404"
11221,358,602,59.47,"20200404"
11222,140,314,44.59,"20200404"
11223,508,925,54.92,"20200404"
11224,210,412,50.97,"20200404"
11225,376,572,65.73,"20200404"
11226,523,844,61.97,"20200404"
11228,169,324,52.16,"20200404"
11229,445,847,52.54,"20200404"
11230,903,1414,63.86,"20200404"
11231,161,330,48.79,"20200404"
11232,155,244,63.52,"20200404"
11233,325,524,62.02,"20200404"
11234,574,1007,57,"20200404"
11235,459,908,50.55,"20200404"
11236,676,1070,63.18,"20200404"
11237,258,383,67.36,"20200404"
11238,272,496,54.84,"20200404"
11239,137,203,67.49,"20200404"
11357,240,456,52.63,"20200404"
11355,333,543,61.33,"20200404"
11354,232,410,56.59,"20200404"
11356,160,306,52.29,"20200404"
11358,163,339,48.08,"20200404"
11360,94,220,42.73,"20200404"
11361,130,248,52.42,"20200404"
11362,88,202,43.56,"20200404"
11363,38,85,44.71,"20200404"
11364,158,297,53.2,"20200404"
11365,248,454,54.63,"20200404"
11366,165,267,61.8,"20200404"
11367,425,671,63.34,"20200404"
